"jobpostnr","nodeid","word","tag"
1,1,"realize","O"
1,2,"the","O"
1,3,"work","O"
1,4,"and","O"
1,5,"management","B-SKILL"
1,6,"of","O"
1,7,"corporate","O"
1,8,"sales","B-SKILL"
1,9,"service","O"
1,10,"css","B-SKILL"
1,11,"to","O"
1,12,"achieve","O"
1,13,"the","O"
1,14,"goals","B-SKILL"
1,15,"set","I-SKILL"
1,16,"by","O"
1,17,"the","O"
1,18,"company","O"
1,19,"participate","O"
1,20,"in","O"
1,21,"the","O"
1,22,"elaboration","O"
1,23,"of","O"
1,24,"corporate","O"
1,25,"sales","B-SKILL"
1,26,"development","I-SKILL"
1,27,"strategy","O"
1,28,"organize","O"
1,29,"and","O"
1,30,"realize","O"
1,31,"activities","O"
1,32,"aimed","O"
1,33,"to","O"
1,34,"increase","O"
1,35,"sales","B-SKILL"
1,36,"volume","O"
1,37,"and","O"
1,38,"revenue","O"
1,39,"provide","O"
1,40,"high","O"
1,41,"level","O"
1,42,"of","O"
1,43,"customer","O"
1,44,"care","O"
1,45,"service","O"
1,46,"and","O"
1,47,"increase","O"
1,48,"the","O"
1,49,"loyalty","O"
1,50,"of","O"
1,51,"the","O"
1,52,"corporate","O"
1,53,"clients","O"
1,54,"conduct","O"
1,55,"requirements","B-SKILL"
1,56,"analysis","I-SKILL"
1,57,"of","O"
1,58,"corporate","O"
1,59,"clients","O"
1,60,"concerning","O"
1,61,"mobile","O"
1,62,"and","O"
1,63,"fixed","O"
1,64,"telephony","B-SKILL"
1,65,"services","I-SKILL"
1,66,"and","O"
1,67,"prepare","O"
1,68,"recommendations","O"
1,69,"on","O"
1,70,"new","B-SKILL"
1,71,"products","I-SKILL"
1,72,"services","O"
1,73,"negotiate","B-SKILL"
1,74,"with","O"
1,75,"potential","O"
1,76,"and","O"
1,77,"existing","O"
1,78,"outstanding","O"
1,79,"corporate","O"
1,80,"clients","O"
1,81,"make","O"
1,82,"presentations","B-SKILL"
1,83,"of","O"
1,84,"new","O"
1,85,"offers","O"
1,86,"and","O"
1,87,"services","O"
1,88,"carry","O"
1,89,"out","O"
1,90,"resource","O"
1,91,"and","O"
1,92,"budget","B-SKILL"
1,93,"planning","I-SKILL"
1,94,"of","O"
1,95,"css","B-SKILL"
1,96,"recruit","O"
1,97,"and","O"
1,98,"train","O"
1,99,"the","O"
1,100,"staff","O"
1,101,"of","O"
1,102,"the","O"
1,103,"service","O"
2,1,"organize","B-SKILL"
2,2,"all","O"
2,3,"shipments","O"
2,4,"in","O"
2,5,"line","O"
2,6,"with","O"
2,7,"company","O"
2,8,"requirements","O"
2,9,"ensure","O"
2,10,"the","O"
2,11,"integrity","O"
2,12,"of","O"
2,13,"import","B-SKILL"
2,14,"export","I-SKILL"
2,15,"documentation","O"
2,16,"such","O"
2,17,"as","O"
2,18,"bills","O"
2,19,"of","O"
2,20,"lading","O"
2,21,"and","O"
2,22,"gsp","O"
2,23,"certificates","O"
2,24,"responsible","O"
2,25,"for","O"
2,26,"commercial","O"
2,27,"invoices","O"
2,28,"and","O"
2,29,"packing","O"
2,30,"lists","O"
2,31,"prepare","O"
2,32,"and","O"
2,33,"maintain","O"
2,34,"a","O"
2,35,"delivery","O"
2,36,"schedule","B-SKILL"
2,37,"and","O"
2,38,"communicate","B-SKILL"
2,39,"to","O"
2,40,"all","O"
2,41,"relevant","O"
2,42,"departments","O"
2,43,"verify","O"
2,44,"all","O"
2,45,"freight","O"
2,46,"invoices","O"
2,47,"continually","O"
2,48,"review","O"
2,49,"shipping","O"
2,50,"dates","O"
2,51,"and","O"
2,52,"report","B-SKILL"
2,53,"exceptions","I-SKILL"
2,54,"perform","O"
2,55,"any","O"
2,56,"other","O"
2,57,"reasonable","O"
2,58,"duties","O"
2,59,"which","O"
2,60,"may","O"
2,61,"be","O"
2,62,"required","O"
2,63,"by","O"
2,64,"the","O"
2,65,"management","B-SKILL"
2,66,"from","O"
2,67,"time","O"
2,68,"to","O"
2,69,"time","O"
3,1,"actively","O"
3,2,"promote","O"
3,3,"bank","B-SKILL"
3,4,"loan","I-SKILL"
3,5,"products","O"
3,6,"responsible","O"
3,7,"for","O"
3,8,"consultancy","B-SKILL"
3,9,"for","O"
3,10,"customers","O"
3,11,"on","O"
3,12,"required","O"
3,13,"documents","O"
3,14,"loan","B-SKILL"
3,15,"term","O"
3,16,"and","O"
3,17,"conditions","O"
3,18,"collect","O"
3,19,"and","O"
3,20,"verify","O"
3,21,"the","O"
3,22,"financial","O"
3,23,"information","O"
3,24,"submitted","O"
3,25,"by","O"
3,26,"the","O"
3,27,"customer","O"
3,28,"review","O"
3,29,"and","O"
3,30,"analyse","O"
3,31,"financial","B-SKILL"
3,32,"statements","I-SKILL"
3,33,"identify","O"
3,34,"potential","O"
3,35,"customers","O"
3,36,"needs","O"
3,37,"and","O"
3,38,"their","O"
3,39,"appropriate","O"
3,40,"management","B-SKILL"
3,41,"monitor","O"
3,42,"the","O"
3,43,"status","O"
3,44,"of","O"
3,45,"applications","O"
3,46,"analyze","O"
3,47,"due","B-SKILL"
3,48,"diligence","I-SKILL"
3,49,"data","O"
3,50,"using","O"
3,51,"financial","O"
3,52,"ratios","O"
3,53,"client","O"
3,54,"credit","O"
3,55,"histories","O"
3,56,"resale","O"
3,57,"value","O"
3,58,"of","O"
3,59,"collateral","O"
3,60,"etc","O"
3,61,"prepare","O"
3,62,"and","O"
3,63,"present","O"
