,X,text,results
0,,realize the work and management of corporate sales service css to achieve the goals set by the company participate in the elaboration of corporate sales development strategy organize and realize activities aimed to increase sales volume and revenue provide high level of customer care service and increase the loyalty of the corporate clients conduct requirements analysis of corporate clients concerning mobile and fixed telephony services and prepare recommendations on new products services negotiate with potential and existing outstanding corporate clients make presentations of new offers and services carry out resource and budget planning of css recruit and train the staff of the service,"[{'skill_id': 'ESEF6CBFE27C71B28816', 'doc_node_value': 'goal set', 'score': 1, 'doc_node_id': [13, 14]}, {'skill_id': 'KS4407F6GQP0J1G5PYZR', 'doc_node_value': 'sale development', 'score': 1, 'doc_node_id': [24, 25]}, {'skill_id': 'KS4400V6459G7LYV1X6V', 'doc_node_value': 'requirement analysis', 'score': 1, 'doc_node_id': [54, 55]}, {'skill_id': 'KS121F45VPV8C9W3QFYH', 'score': 1, 'doc_node_value': 'CSS', 'doc_node_id': [9]}, {'skill_id': 'KS121F45VPV8C9W3QFYH', 'score': 1, 'doc_node_value': 'CSS', 'doc_node_id': [94]}]"
1,,realize the work and management of corporate sales service css to achieve the goals set by the company participate in the elaboration of corporate sales development strategy organize and realize activities aimed to increase sales volume and revenue provide high level of customer care service and increase the loyalty of the corporate clients conduct requirements analysis of corporate clients concerning mobile and fixed telephony services and prepare recommendations on new products services negotiate with potential and existing outstanding corporate clients make presentations of new offers and services carry out resource and budget planning of css recruit and train the staff of the service,"[{'skill_id': 'KS1218W78FGVPVP2KXPX', 'doc_node_id': [4], 'doc_node_value': 'management', 'type': 'fullUni', 'score': 1, 'len': 1}, {'skill_id': 'KS123X777H5WFNXQ6BPM', 'doc_node_id': [7], 'doc_node_value': 'sales', 'type': 'fullUni', 'score': 1, 'len': 1}, {'skill_id': 'KS123X777H5WFNXQ6BPM', 'doc_node_id': [34], 'doc_node_value': 'sales', 'type': 'fullUni', 'score': 1, 'len': 1}, {'skill_id': 'KS4419G78J06JN6326DF', 'doc_node_id': [63, 64], 'doc_node_value': 'telephony services', 'type': 'oneToken', 'score': 0.6333333333333333, 'len': 2}, {'skill_id': 'KS1270P6SLFCFT476Y3R', 'doc_node_id': [69, 70], 'doc_node_value': 'new products', 'type': 'oneToken', 'score': 0.6333333333333333, 'len': 2}, {'skill_id': 'KS1270P6SLFCFT476Y3R', 'doc_node_id': [69, 70], 'doc_node_value': 'new products', 'type': 'oneToken', 'score': 0.6333333333333333, 'len': 2}, {'skill_id': 'KS126X663B21NB77ZHSP', 'doc_node_id': [72], 'doc_node_value': 'negotiate', 'type': 'lowSurf', 'score': 0.695405900478363, 'len': 1}, {'skill_id': 'KS1280B68GD79P4WMVYW', 'doc_node_id': [81], 'doc_node_value': 'presentations', 'type': 'fullUni', 'score': 1, 'len': 1}, {'skill_id': 'KS120HK5XY6JV257QLTX', 'doc_node_id': [91], 'doc_node_value': 'budget', 'type': 'lowSurf', 'score': 0.5876256227493286, 'len': 1}, {'skill_id': 'ESEB1D4619E6E83A061D', 'doc_node_id': [92], 'doc_node_value': 'planning', 'type': 'fullUni', 'score': 1, 'len': 1}]"
2,,organize all shipments in line with company requirements ensure the integrity of import export documentation such as bills of lading and gsp certificates responsible for commercial invoices and packing lists prepare and maintain a delivery schedule and communicate to all relevant departments verify all freight invoices continually review shipping dates and report exceptions perform any other reasonable duties which may be required by the management from time to time,[]
3,,organize all shipments in line with company requirements ensure the integrity of import export documentation such as bills of lading and gsp certificates responsible for commercial invoices and packing lists prepare and maintain a delivery schedule and communicate to all relevant departments verify all freight invoices continually review shipping dates and report exceptions perform any other reasonable duties which may be required by the management from time to time,"[{'skill_id': 'KS682KS6YH44C8LDZDBJ', 'doc_node_id': [12, 13], 'doc_node_value': 'import export', 'type': 'oneToken', 'score': 0.6333333333333333, 'len': 2}, {'skill_id': 'KS680KR72KH02C5GM5TY', 'doc_node_id': [35], 'doc_node_value': 'schedule', 'type': 'lowSurf', 'score': 0.7029056549072266, 'len': 1}, {'skill_id': 'KS122556LMQ829GZCCRV', 'doc_node_id': [37], 'doc_node_value': 'communicate', 'type': 'lowSurf', 'score': 0.6034268140792847, 'len': 1}, {'skill_id': 'ESF3939CE1F80C10C327', 'doc_node_id': [51, 52], 'doc_node_value': 'report exceptions', 'type': 'lowSurf', 'score': 2, 'len': 2}, {'skill_id': 'KS1218W78FGVPVP2KXPX', 'doc_node_id': [64], 'doc_node_value': 'management', 'type': 'lowSurf', 'score': 1.0, 'len': 1}]"
4,,actively promote bank loan products responsible for consultancy for customers on required documents loan term and conditions collect and verify the financial information submitted by the customer review and analyse financial statements identify potential customers needs and their appropriate management monitor the status of applications analyze due diligence data using financial ratios client credit histories resale value of collateral etc prepare and present required reports and documentation to the necessary signatories evaluate the credit risk of clients before the credit committee educate borrowers and guarantors of their rights and obligations including all aspects of servicing the loan repayment schedule and terms indexing etc monitor client businesses to check use of loan funds and continuing ability to repay make collections and track loan repayments responsible for ensuring payments are made on time and in the correct amount,"[{'skill_id': 'KS123YJ6KVWC91BTMB4R', 'doc_node_value': 'financial statement', 'score': 1, 'doc_node_id': [30, 31]}, {'skill_id': 'KS1237L6PKFC8187JKW5', 'doc_node_value': 'due diligence', 'score': 1, 'doc_node_id': [46, 47]}, {'skill_id': 'ES1E6EFF7F7429763B50', 'doc_node_value': 'credit risk', 'score': 1, 'doc_node_id': [73, 74]}]"
5,,actively promote bank loan products responsible for consultancy for customers on required documents loan term and conditions collect and verify the financial information submitted by the customer review and analyse financial statements identify potential customers needs and their appropriate management monitor the status of applications analyze due diligence data using financial ratios client credit histories resale value of collateral etc prepare and present required reports and documentation to the necessary signatories evaluate the credit risk of clients before the credit committee educate borrowers and guarantors of their rights and obligations including all aspects of servicing the loan repayment schedule and terms indexing etc monitor client businesses to check use of loan funds and continuing ability to repay make collections and track loan repayments responsible for ensuring payments are made on time and in the correct amount,"[{'skill_id': 'KS120WT63K4HC6NX7QXV', 'doc_node_id': [2], 'doc_node_value': 'bank', 'type': 'lowSurf', 'score': 0.7769217491149902, 'len': 1}, {'skill_id': 'KS125Y462DTP41N0WP4M', 'doc_node_id': [3], 'doc_node_value': 'loan', 'type': 'lowSurf', 'score': 0.920791745185852, 'len': 1}, {'skill_id': 'KS122B071LMGXVTT3Z91', 'doc_node_id': [7], 'doc_node_value': 'consultancy', 'type': 'lowSurf', 'score': 0.8104466795921326, 'len': 1}, {'skill_id': 'KS125Y462DTP41N0WP4M', 'doc_node_id': [13], 'doc_node_value': 'loan', 'type': 'lowSurf', 'score': 0.920791745185852, 'len': 1}, {'skill_id': 'KS1218W78FGVPVP2KXPX', 'doc_node_id': [39], 'doc_node_value': 'management', 'type': 'fullUni', 'score': 1, 'len': 1}, {'skill_id': 'KS125Y462DTP41N0WP4M', 'doc_node_id': [96], 'doc_node_value': 'loan', 'type': 'lowSurf', 'score': 0.920791745185852, 'len': 1}, {'skill_id': 'KS680KR72KH02C5GM5TY', 'doc_node_id': [98], 'doc_node_value': 'schedule', 'type': 'lowSurf', 'score': 0.7029056549072266, 'len': 1}, {'skill_id': 'KS7G0PK5YF5GV85CXJSX', 'doc_node_id': [101], 'doc_node_value': 'indexing', 'type': 'lowSurf', 'score': 1.0, 'len': 1}, {'skill_id': 'KS125Y462DTP41N0WP4M', 'doc_node_id': [110], 'doc_node_value': 'loan', 'type': 'lowSurf', 'score': 0.920791745185852, 'len': 1}, {'skill_id': 'KS7G4YT72YHJ3BVJ4P56', 'doc_node_id': [118], 'doc_node_value': 'collections', 'type': 'lowSurf', 'score': 1.0, 'len': 1}, {'skill_id': 'KS441GF6KQ6M65WY8DJ3', 'doc_node_id': [120], 'doc_node_value': 'track', 'type': 'fullUni', 'score': 1, 'len': 1}, {'skill_id': 'KS125Y462DTP41N0WP4M', 'doc_node_id': [121], 'doc_node_value': 'loan', 'type': 'lowSurf', 'score': 0.920791745185852, 'len': 1}]"
6,,develop excel based and sql server reporting service solutions to manage the daily delivery of reporting perform daily data validation and ensure data availability deliver ad hoc reports alongside standard daily weekly and monthly reporting extract data and perform analysis on activities of the brokerage business compile statistics and analyze comparable data develop and maintain reporting systems analyze existing reports and data sources develop innovative prototypes with goal of perpetual identification and creation of efficiencies in the reporting process develop understanding of information sources and correct interpretation of data answer user questions regarding report interpretation respond to requests for new reports and identify reporting needs identify deviations from normal results in reporting and highlight and interpret results assist in the design and automation of management reporting perform other tasks as assigned,[]
7,,develop excel based and sql server reporting service solutions to manage the daily delivery of reporting perform daily data validation and ensure data availability deliver ad hoc reports alongside standard daily weekly and monthly reporting extract data and perform analysis on activities of the brokerage business compile statistics and analyze comparable data develop and maintain reporting systems analyze existing reports and data sources develop innovative prototypes with goal of perpetual identification and creation of efficiencies in the reporting process develop understanding of information sources and correct interpretation of data answer user questions regarding report interpretation respond to requests for new reports and identify reporting needs identify deviations from normal results in reporting and highlight and interpret results assist in the design and automation of management reporting perform other tasks as assigned,"[{'skill_id': 'KS440W978594SQ4X95WS', 'doc_node_id': [4, 5], 'doc_node_value': 'sql server', 'type': 'oneToken', 'score': 0.6333333333333333, 'len': 2}, {'skill_id': 'KS4400M6N9DRR6JH4HJ1', 'doc_node_id': [5, 6], 'doc_node_value': 'server reporting', 'type': 'oneToken', 'score': 0.6, 'len': 2}, {'skill_id': 'KS4400M6N9DRR6JH4HJ1', 'doc_node_id': [5, 6], 'doc_node_value': 'server reporting', 'type': 'oneToken', 'score': 0.6, 'len': 2}, {'skill_id': 'KS4400M6N9DRR6JH4HJ1', 'doc_node_id': [5, 6], 'doc_node_value': 'server reporting', 'type': 'oneToken', 'score': 0.6, 'len': 2}, {'skill_id': 'ES4E3148857AA502599E', 'doc_node_id': [15, 16], 'doc_node_value': 'reporting perform', 'type': 'lowSurf', 'score': 2, 'len': 2}, {'skill_id': 'KS122NQ78JV15M7TG886', 'doc_node_id': [18, 19], 'doc_node_value': 'data validation', 'type': 'lowSurf', 'score': 2, 'len': 2}, {'skill_id': 'KS1205Y6CQ33MDZ4NZMC', 'doc_node_id': [25, 26], 'doc_node_value': 'ad hoc', 'type': 'oneToken', 'score': 0.6333333333333333, 'len': 2}, {'skill_id': 'KS122P063X6NGMHLP002', 'doc_node_id': [35, 36], 'doc_node_value': 'extract data', 'type': 'lowSurf', 'score': 2, 'len': 2}, {'skill_id': 'KS127P8798Q169DNXBQF', 'doc_node_id': [38, 39], 'doc_node_value': 'perform analysis', 'type': 'lowSurf', 'score': 2, 'len': 2}, {'skill_id': 'KS1216V6BW9W9PWLVHP8', 'doc_node_id': [44], 'doc_node_value': 'brokerage', 'type': 'fullUni', 'score': 1, 'len': 1}, {'skill_id': 'KS1222B65RBD5S76SC7H', 'doc_node_id': [46], 'doc_node_value': 'compile', 'type': 'lowSurf', 'score': 0.5842425227165222, 'len': 1}, {'skill_id': 'KS440Y975RD841M02V3S', 'doc_node_id': [47], 'doc_node_value': 'statistics', 'type': 'lowSurf', 'score': 1.0, 'len': 1}, {'skill_id': 'KS123FP611ZTXD0TJ0D3', 'doc_node_id': [55, 56], 'doc_node_value': 'reporting systems', 'type': 'oneToken', 'score': 0.5666666666666668, 'len': 2}, {'skill_id': 'KS440SJ6R7B9M5XMRRZL', 'doc_node_id': [61, 62], 'doc_node_value': 'data sources', 'type': 'lowSurf', 'score': 2, 'len': 2}, {'skill_id': 'KS1253H61TTR1FZWSRH4', 'doc_node_id': [64], 'doc_node_value': 'innovative', 'type': 'lowSurf', 'score': 0.7217621803283691, 'len': 1}, {'skill_id': 'KS1285T645JRKKFWSV0W', 'doc_node_id': [65], 'doc_node_value': 'prototypes', 'type': 'lowSurf', 'score': 0.703559160232544, 'len': 1}, {'skill_id': 'KS1282071M5KSZC066MZ', 'doc_node_id': [78, 79], 'doc_node_value': 'process develop', 'type': 'lowSurf', 'score': 2, 'len': 2}, {'skill_id': 'KS440DF66LNYW3SHFJKL', 'doc_node_id': [82, 83], 'doc_node_value': 'information sources', 'type': 'oneToken', 'score': 0.5666666666666668, 'len': 2}, {'skill_id': 'KS120SQ5W4Q57JMD2Y81', 'doc_node_id': [122], 'doc_node_value': 'automation', 'type': 'fullUni', 'score': 1, 'len': 1}, {'skill_id': 'KS7G1086HVHBZ2GMDM4D', 'doc_node_id': [124, 125], 'doc_node_value': 'management reporting', 'type': 'oneToken', 'score': 0.5666666666666668, 'len': 2}, {'skill_id': 'KS7G1086HVHBZ2GMDM4D', 'doc_node_id': [124, 125], 'doc_node_value': 'management reporting', 'type': 'oneToken', 'score': 0.5666666666666668, 'len': 2}, {'skill_id': 'ES4E3148857AA502599E', 'doc_node_id': [125, 126], 'doc_node_value': 'reporting perform', 'type': 'lowSurf', 'score': 2, 'len': 2}]"
8,,develop and promote marketing strategy of the companys brand products present recommendations on market development and sales make research on competitors per market share conduct analysis of basic marketing indicators plan and implement marketing research adhere to deadlines meet targets and fulfill company and supervisor requirements determine target markets to expand audience base and decide how target market will be reached such track sales in order to monitor promotion effectiveness make annual forecast for sales submitting marketing recommendations execute periodical marketing researches in retail area analyze the market situation and structure as well as the effectiveness of each marketing action,"[{'skill_id': 'KS1256W6MPKRNM11QMPM', 'doc_node_value': 'marketing strategy', 'score': 1, 'doc_node_id': [3, 4]}, {'skill_id': 'KS1265471ZT1HMHWH9NY', 'doc_node_value': 'market development', 'score': 1, 'doc_node_id': [13, 14]}, {'skill_id': 'KS1265161XH6ZSH9QX65', 'doc_node_value': 'market share', 'score': 1, 'doc_node_id': [22, 23]}, {'skill_id': 'KS122B86K64KXNV7S8X2', 'doc_node_value': 'marketing research', 'score': 1, 'doc_node_id': [33, 34]}, {'skill_id': 'KS44173655WFR7JPTX25', 'doc_node_value': 'target market', 'score': 1, 'doc_node_id': [47, 48]}, {'skill_id': 'KS44173655WFR7JPTX25', 'doc_node_value': 'target market', 'score': 1, 'doc_node_id': [56, 57]}, {'skill_id': 'KS122B86K64KXNV7S8X2', 'doc_node_value': 'marketing research', 'score': 1, 'doc_node_id': [80, 81]}]"
9,,develop and promote marketing strategy of the companys brand products present recommendations on market development and sales make research on competitors per market share conduct analysis of basic marketing indicators plan and implement marketing research adhere to deadlines meet targets and fulfill company and supervisor requirements determine target markets to expand audience base and decide how target market will be reached such track sales in order to monitor promotion effectiveness make annual forecast for sales submitting marketing recommendations execute periodical marketing researches in retail area analyze the market situation and structure as well as the effectiveness of each marketing action,"[{'skill_id': 'KS7G4ML61B2JX1H1003Z', 'doc_node_id': [8], 'doc_node_value': 'brand', 'type': 'lowSurf', 'score': 0.5628423690795898, 'len': 1}, {'skill_id': 'KS123X777H5WFNXQ6BPM', 'doc_node_id': [16], 'doc_node_value': 'sales', 'type': 'fullUni', 'score': 1, 'len': 1}, {'skill_id': 'KS1203C6N9B52QGB4H67', 'doc_node_id': [18], 'doc_node_value': 'research', 'type': 'fullUni', 'score': 1, 'len': 1}, {'skill_id': 'KS7G4KW60KDJP49T84KC', 'doc_node_id': [29], 'doc_node_value': 'indicators', 'type': 'fullUni', 'score': 1, 'len': 1}, {'skill_id': 'ESEB1D4619E6E83A061D', 'doc_node_id': [30], 'doc_node_value': 'plan', 'type': 'lowSurf', 'score': 0.7436007261276245, 'len': 1}, {'skill_id': 'KS441715ZHPGBR5KDGH6', 'doc_node_id': [39], 'doc_node_value': 'targets', 'type': 'lowSurf', 'score': 1, 'len': 1}, {'skill_id': 'KS441GF6KQ6M65WY8DJ3', 'doc_node_id': [62], 'doc_node_value': 'track', 'type': 'fullUni', 'score': 1, 'len': 1}, {'skill_id': 'KS123X777H5WFNXQ6BPM', 'doc_node_id': [63], 'doc_node_value': 'sales', 'type': 'fullUni', 'score': 1, 'len': 1}, {'skill_id': 'KS1241P6PXRCKTDSWHTV', 'doc_node_id': [72], 'doc_node_value': 'forecast', 'type': 'lowSurf', 'score': 0.7015313506126404, 'len': 1}, {'skill_id': 'KS123X777H5WFNXQ6BPM', 'doc_node_id': [74], 'doc_node_value': 'sales', 'type': 'fullUni', 'score': 1, 'len': 1}, {'skill_id': 'KS123QM659F5KX8M3XQW', 'doc_node_id': [78], 'doc_node_value': 'execute', 'type': 'lowSurf', 'score': 0.561983048915863, 'len': 1}]"
